num_leaves,max_depth,learning_rate,objective,metric,boosting,feature_fraction,max_bin,min_data_in_leaf,min_data_in_bin,bagging_freq,random_seed,lambda_l1,lambda_l2,pos_bagging_fraction,neg_bagging_fraction,verbose,num_iterations,early_stopping_round,train_auc,val_auc,hold_out_auc,train_test_diff,n_estimators,score
18,3,0.008620000483824154,binary,auc,gbdt,0.2023424373366332,80,875,55,20,2019,1.0548159896786258,21.582315406596763,0.334393660793853,0.6469877444219001,-1,20000,50,1.0,1.0,1.0,0.0,1,0.25
10,6,0.014840106618593335,binary,auc,gbdt,0.23804893725161463,10,225,65,20,2019,3.6168900093502874,4.935724301363598,0.4604625026356767,0.4682924183640632,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
9,8,0.008993067038505559,binary,auc,gbdt,0.7885074761437973,90,550,55,20,2019,6.797730711591549,6.65367140910586,0.3764564201972691,0.8661714532181494,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
19,9,0.008981674500038606,binary,auc,gbdt,0.47485107435272134,70,100,60,20,2019,1.0803578174655326,3.266138460191481,0.3034677629824998,0.8935624813389127,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
6,12,0.0068489858810506146,binary,auc,gbdt,0.9079672628578128,60,500,25,20,2019,15.228161636137983,35.30772867362897,0.13817158358033454,0.7921401132114504,-1,20000,50,1.0,0.9999999999999999,1.0,1.1102230246251565e-16,2,0.25
4,2,0.014850479999460316,binary,auc,gbdt,0.9952587230913056,40,250,5,20,2019,32.539709410943644,6.366872262392537,0.33696990656874737,0.9377610443931561,-1,20000,50,1.0,1.0,1.0,0.0,1,0.25
8,5,0.011324984146369847,binary,auc,gbdt,0.20189873839587774,30,175,95,20,2019,47.511036545678245,24.264233391781755,0.4934921556559322,0.2864062475882355,-1,20000,50,1.0,0.9999999999999999,1.0,1.1102230246251565e-16,4,0.25
2,5,0.0053816930223240834,binary,auc,gbdt,0.8243611825934627,60,350,45,20,2019,22.77169328313513,11.83691750133639,0.2617858081496018,0.3657326572557009,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
22,5,0.014105650362904103,binary,auc,gbdt,0.5651527542858329,50,475,15,20,2019,15.820989078362762,7.39558281156355,0.1168833695377429,0.8030449077576642,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
9,6,0.010478881193661183,binary,auc,gbdt,0.5005894933668507,30,900,35,20,2019,10.40671245879286,11.585325761089809,0.6679587645774017,0.19963127740780567,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
11,7,0.011611556405060074,binary,auc,gbdt,0.47683626163708137,20,525,40,20,2019,33.26559961063109,37.70691103354983,0.30480899635497616,0.6341284605667927,-1,20000,50,1.0,1.0,1.0,0.0,2,0.25
